,Campanhas de Doação - em andamento (mínimo 10 mil reais mobilizados),,,,,,,,,,
,Campanhas,Organizador (a) / Beneficiário (a),Cidade,Estado,Valor Doado,in Dollars,Doadores,Referência,Observação,,
74,Bolsa do Bem,Grupo,RIo de Janeiro,RJ,"R$ 292.740,00","$ 56.296,15",0,https://www.bolsadobem.org/,,,
75,Brasília maior que COVID,Eduardo Dib,Brasília,DF,"R$ 42.155,09","$ 8.106,75",393,https://www.vakinha.com.br/vaquinha/brasilia-maior-que-covid-impressao-3d-1,,,
76,BrazilFoundation em Ação – Juntos contra a COVID-19,BrazilFoundation,Rio de Janeiro,RJ,"R$ 9.600.000,00","$ 1.846.153,85",0,https://covid19.brazilfoundation.org/,,,
77,Campanha de Combate à Propagação do Coronavírus,OVG,Goiânia,GO,"R$ 1.994.521,00","$ 383.561,73",1505,http://www.ovg.org.br/voluntariado/campanha/424242,"Descontadas os valores já lançados em ""Doações""",,
78,Campanha para produção de remédios antroposóficos gratuitos,Associação Comunitária Yochanan & ABMA,São João del Rey,MG,"R$ 28.909,51","$ 5.559,52",72,https://www.vakinha.com.br/vaquinha/remedio-para-quem-precisa,,,
79,Campanha Salvando Vidas: apoio em dobro,BNDES,Rio de Janeiro,RJ,"R$ 23.795.996,00","$ 4.576.153,08",1404,https://benfeitoria.com/salvandovidas,Descontado 1 milhão de reais da Duratex e 1 milhão CPFL Energia,,
80,CAMPANHA SOLIDARIA MORRO SANTANA,Morro Santana,Porto Alegre,RS,"R$ 25.355,00","$ 4.875,96",262,https://www.vakinha.com.br/vaquinha/apoie-a-voz-do-morro-0f4b7ee1-243f-4e11-aede-a33faeaadb7e,,,
81,Campanha Unicamp Solidária: Cestas Básicas,Unicamp,Campinas,SP,"R$ 1.360.576,00","$ 261.649,23",803,http://www.funcamp.unicamp.br/portal/campanha/acompanhamento.htm,,,
82,CantoMobiliza,Canto Cidadão,São Paulo,SP,"R$ 14.580,01","$ 2.803,85",117,https://www.kickante.com.br/campanhas/cantomobiliza,,,
83,Cáritas RJ| Juntos pelos Refugiados!,Cáritas,Rio de Janeiro,RJ,"R$ 26.912,00","$ 5.175,38",253,https://www.kickante.com.br/campanhas/caritas-auxilie-familias-refugiadas,,,
84,CEPAC - Associação para Proteção das Crianças e Adolescentes,CEPAC - Associação para Proteção das Crianças e Adolescentes,Barueri,SP,"R$ 114.031,86","$ 21.929,20",0,https://combatecovid.org/cepac,,,
85,Cesta básica / Corona COVID-19 / TurmadaMarmita,Turma da Marmita,Cotia,SP,"R$ 20.128,12","$ 3.870,79",176,https://www.vakinha.com.br/vaquinha/cesta-basica-corona-covid-19-turmadamarmita,,,
86,Cesta Básica IM,Intermine,Osasco,SP,"R$ 15.935,80","$ 3.064,58",56,https://www.vakinha.com.br/vaquinha/cesta-basica-im,,,
87,Cesta Soidária contra o Coronavírus,Cesta Solidária,Porto Alegre,RS,"R$ 70.879,73","$ 13.630,72",574,https://www.vakinha.com.br/vaquinha/cesta-solidaria-contra-o-coronavirus,,,
88,Cestas Básicas em tempos de Coronavírus,Daléa Soares Antunes ,Rio de Janeiro,RJ,"R$ 55.923,19","$ 10.754,46",437,https://www.vakinha.com.br/vaquinha/cestas-basicas-em-tempos-de-coronavirus,,,
89,Cestas-básicas para famílias carentes!,Luma Elpidio,Araruama,RJ,"R$ 43.012,15","$ 8.271,57",898,https://www.vakinha.com.br/vaquinha/cestas-basicas-para-familias-carentes-luma-elpidio,,,
90,Cestou na Liga,Liga Solidária,São Paulo,SP,"R$ 74.310,00","$ 14.290,38",0,https://ligasolidaria.abraceumacausa.com.br/,,,
91,Colabora Agora,Colabora Agora,São Paulo,SP,"R$ 4.068.844,49","$ 782.470,09",800,https://www.bsocial.com.br/causa/colabora-agora,,,
